"","PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Title","TravelsWithPartner","CabinLetter","TicketClass"
"1",1,0,"3","male",22,1,0,7.25,"S","Mr.","0","missing","a"
"2",2,1,"1","female",38,1,0,71.2833,"C","Mrs.","0","C","pc"
"3",3,1,"3","female",26,0,0,7.925,"S","Miss.","0","missing","ston"
"4",4,1,"1","female",35,1,0,53.1,"S","Mrs.","1","C","missing"
"5",5,0,"3","male",35,0,0,8.05,"S","Mr.","0","missing","missing"
"6",6,0,"3","male",29.6991176470588,0,0,8.4583,"Q","Mr.","0","missing","missing"
"7",7,0,"1","male",54,0,0,51.8625,"S","Mr.","0","E","missing"
"8",8,0,"3","male",2,3,1,21.075,"S","Master.","0","missing","missing"
"9",9,1,"3","female",27,0,2,11.1333,"S","Mrs.","0","missing","missing"
"10",10,1,"2","female",14,1,0,30.0708,"C","Mrs.","1","missing","missing"
"11",11,1,"3","female",4,1,1,16.7,"S","Miss.","0","G","pp"
"12",12,1,"1","female",58,0,0,26.55,"S","Miss.","0","C","missing"
"13",13,0,"3","male",20,0,0,8.05,"S","Mr.","0","missing","a"
"14",14,0,"3","male",39,1,5,31.275,"S","Mr.","1","missing","missing"
"15",15,0,"3","female",14,0,0,7.8542,"S","Miss.","0","missing","missing"
"16",16,1,"2","female",55,0,0,16,"S","Mrs.","0","missing","missing"
"17",17,0,"3","male",2,4,1,29.125,"Q","Master.","0","missing","missing"
"18",18,1,"2","male",29.6991176470588,0,0,13,"S","Mr.","0","missing","missing"
"19",19,0,"3","female",31,1,0,18,"S","Mrs.","0","missing","missing"
"20",20,1,"3","female",29.6991176470588,0,0,7.225,"C","Mrs.","0","missing","missing"
"21",21,0,"2","male",35,0,0,26,"S","Mr.","0","missing","missing"
"22",22,1,"2","male",34,0,0,13,"S","Mr.","0","D","missing"
"23",23,1,"3","female",15,0,0,8.0292,"Q","Miss.","0","missing","missing"
"24",24,1,"1","male",28,0,0,35.5,"S","Mr.","0","A","missing"
"25",25,0,"3","female",8,3,1,21.075,"S","Miss.","0","missing","missing"
"26",26,1,"3","female",38,1,5,31.3875,"S","Mrs.","0","missing","missing"
"27",27,0,"3","male",29.6991176470588,0,0,7.225,"C","Mr.","0","missing","missing"
"28",28,0,"1","male",19,3,2,263,"S","Mr.","0","C","missing"
"29",29,1,"3","female",29.6991176470588,0,0,7.8792,"Q","Miss.","0","missing","missing"
"30",30,0,"3","male",29.6991176470588,0,0,7.8958,"S","Mr.","0","missing","missing"
"31",31,0,"1","male",40,0,0,27.7208,"C","Other","0","missing","pc"
"32",32,1,"1","female",29.6991176470588,1,0,146.5208,"C","Mrs.","0","B","pc"
"33",33,1,"3","female",29.6991176470588,0,0,7.75,"Q","Miss.","0","missing","missing"
"34",34,0,"2","male",66,0,0,10.5,"S","Mr.","0","missing","ca"
"35",35,0,"1","male",28,1,0,82.1708,"C","Mr.","1","missing","pc"
"36",36,0,"1","male",42,1,0,52,"S","Mr.","1","missing","missing"
"37",37,1,"3","male",29.6991176470588,0,0,7.2292,"C","Mr.","0","missing","missing"
"38",38,0,"3","male",21,0,0,8.05,"S","Mr.","0","missing","a"
"39",39,0,"3","female",18,2,0,18,"S","Miss.","0","missing","missing"
"40",40,1,"3","female",14,1,0,11.2417,"C","Miss.","0","missing","missing"
"41",41,0,"3","female",40,1,0,9.475,"S","Mrs.","0","missing","missing"
"42",42,0,"2","female",27,1,0,21,"S","Mrs.","1","missing","missing"
"43",43,0,"3","male",29.6991176470588,0,0,7.8958,"C","Mr.","0","missing","missing"
"44",44,1,"2","female",3,1,2,41.5792,"C","Miss.","0","missing","scpa"
"45",45,1,"3","female",19,0,0,7.8792,"Q","Miss.","0","missing","missing"
"46",46,0,"3","male",29.6991176470588,0,0,8.05,"S","Mr.","0","missing","sca"
"47",47,0,"3","male",29.6991176470588,1,0,15.5,"Q","Mr.","0","missing","missing"
"48",48,1,"3","female",29.6991176470588,0,0,7.75,"Q","Miss.","0","missing","missing"
"49",49,0,"3","male",29.6991176470588,2,0,21.6792,"C","Mr.","0","missing","missing"
"50",50,0,"3","female",18,1,0,17.8,"S","Mrs.","1","missing","missing"
"51",51,0,"3","male",7,4,1,39.6875,"S","Master.","0","missing","missing"
"52",52,0,"3","male",21,0,0,7.8,"S","Mr.","0","missing","a"
"53",53,1,"1","female",49,1,0,76.7292,"C","Mrs.","1","D","pc"
"54",54,1,"2","female",29,1,0,26,"S","Mrs.","0","missing","missing"
"55",55,0,"1","male",65,0,1,61.9792,"C","Mr.","0","B","missing"
"56",56,1,"1","male",29.6991176470588,0,0,35.5,"S","Mr.","0","C","missing"
"57",57,1,"2","female",21,0,0,10.5,"S","Miss.","0","missing","ca"
"58",58,0,"3","male",28.5,0,0,7.2292,"C","Mr.","0","missing","missing"
"59",59,1,"2","female",5,1,2,27.75,"S","Miss.","0","missing","ca"
"60",60,0,"3","male",11,5,2,46.9,"S","Master.","0","missing","ca"
"61",61,0,"3","male",22,0,0,7.2292,"C","Mr.","0","missing","missing"
"62",62,1,"1","female",38,0,0,80,"missing","Miss.","0","B","missing"
"63",63,0,"1","male",45,1,0,83.475,"S","Mr.","1","C","missing"
"64",64,0,"3","male",4,3,2,27.9,"S","Master.","0","missing","missing"
"65",65,0,"1","male",29.6991176470588,0,0,27.7208,"C","Mr.","0","missing","pc"
"66",66,1,"3","male",29.6991176470588,1,1,15.2458,"C","Master.","0","missing","missing"
"67",67,1,"2","female",29,0,0,10.5,"S","Mrs.","0","F","ca"
"68",68,0,"3","male",19,0,0,8.1583,"S","Mr.","0","missing","sp"
"69",69,1,"3","female",17,4,2,7.925,"S","Miss.","0","missing","missing"
"70",70,0,"3","male",26,2,0,8.6625,"S","Mr.","0","missing","missing"
"71",71,0,"2","male",32,0,0,10.5,"S","Mr.","0","missing","ca"
"72",72,0,"3","female",16,5,2,46.9,"S","Miss.","0","missing","ca"
"73",73,0,"2","male",21,0,0,73.5,"S","Mr.","0","missing","soc"
"74",74,0,"3","male",26,1,0,14.4542,"C","Mr.","0","missing","missing"
"75",75,1,"3","male",32,0,0,56.4958,"S","Mr.","0","missing","missing"
"76",76,0,"3","male",25,0,0,7.65,"S","Mr.","0","F","missing"
"77",77,0,"3","male",29.6991176470588,0,0,7.8958,"S","Mr.","0","missing","missing"
"78",78,0,"3","male",29.6991176470588,0,0,8.05,"S","Mr.","0","missing","missing"
"79",79,1,"2","male",0.83,0,2,29,"S","Master.","0","missing","missing"
"80",80,1,"3","female",30,0,0,12.475,"S","Miss.","0","missing","missing"
"81",81,0,"3","male",22,0,0,9,"S","Mr.","0","missing","missing"
"82",82,1,"3","male",29,0,0,9.5,"S","Mr.","0","missing","missing"
"83",83,1,"3","female",29.6991176470588,0,0,7.7875,"Q","Miss.","0","missing","missing"
"84",84,0,"1","male",28,0,0,47.1,"S","Mr.","0","missing","missing"
"85",85,1,"2","female",17,0,0,10.5,"S","Miss.","0","missing","soc"
"86",86,1,"3","female",33,3,0,15.85,"S","Mrs.","1","missing","missing"
"87",87,0,"3","male",16,1,3,34.375,"S","Mr.","0","missing","wc"
"88",88,0,"3","male",29.6991176470588,0,0,8.05,"S","Mr.","0","missing","soto"
"89",89,1,"1","female",23,3,2,263,"S","Miss.","0","C","missing"
"90",90,0,"3","male",24,0,0,8.05,"S","Mr.","0","missing","missing"
"91",91,0,"3","male",29,0,0,8.05,"S","Mr.","0","missing","missing"
"92",92,0,"3","male",20,0,0,7.8542,"S","Mr.","0","missing","missing"
"93",93,0,"1","male",46,1,0,61.175,"S","Mr.","0","E","wep"
"94",94,0,"3","male",26,1,2,20.575,"S","Mr.","0","missing","ca"
"95",95,0,"3","male",59,0,0,7.25,"S","Mr.","0","missing","missing"
"96",96,0,"3","male",29.6991176470588,0,0,8.05,"S","Mr.","0","missing","missing"
"97",97,0,"1","male",71,0,0,34.6542,"C","Mr.","0","A","pc"
"98",98,1,"1","male",23,0,1,63.3583,"C","Mr.","0","D","pc"
"99",99,1,"2","female",34,0,1,23,"S","Mrs.","0","missing","missing"
"100",100,0,"2","male",34,1,0,26,"S","Mr.","1","missing","missing"
"101",101,0,"3","female",28,0,0,7.8958,"S","Miss.","0","missing","missing"
"102",102,0,"3","male",29.6991176470588,0,0,7.8958,"S","Mr.","0","missing","missing"
"103",103,0,"1","male",21,0,1,77.2875,"S","Mr.","0","D","missing"
"104",104,0,"3","male",33,0,0,8.6542,"S","Mr.","0","missing","missing"
"105",105,0,"3","male",37,2,0,7.925,"S","Mr.","0","missing","missing"
"106",106,0,"3","male",28,0,0,7.8958,"S","Mr.","0","missing","missing"
"107",107,1,"3","female",21,0,0,7.65,"S","Miss.","0","missing","missing"
"108",108,1,"3","male",29.6991176470588,0,0,7.775,"S","Mr.","0","missing","missing"
"109",109,0,"3","male",38,0,0,7.8958,"S","Mr.","0","missing","missing"
"110",110,1,"3","female",29.6991176470588,1,0,24.15,"Q","Miss.","0","missing","missing"
"111",111,0,"1","male",47,0,0,52,"S","Mr.","0","C","missing"
"112",112,0,"3","female",14.5,1,0,14.4542,"C","Miss.","0","missing","missing"
"113",113,0,"3","male",22,0,0,8.05,"S","Mr.","0","missing","missing"
"114",114,0,"3","female",20,1,0,9.825,"S","Miss.","0","missing","missing"
"115",115,0,"3","female",17,0,0,14.4583,"C","Miss.","0","missing","missing"
"116",116,0,"3","male",21,0,0,7.925,"S","Mr.","0","missing","ston"
"117",117,0,"3","male",70.5,0,0,7.75,"Q","Mr.","0","missing","missing"
"118",118,0,"2","male",29,1,0,21,"S","Mr.","1","missing","missing"
"119",119,0,"1","male",24,0,1,247.5208,"C","Mr.","0","B","pc"
"120",120,0,"3","female",2,4,2,31.275,"S","Miss.","0","missing","missing"
"121",121,0,"2","male",21,2,0,73.5,"S","Mr.","0","missing","soc"
"122",122,0,"3","male",29.6991176470588,0,0,8.05,"S","Mr.","0","missing","a"
"123",123,0,"2","male",32.5,1,0,30.0708,"C","Mr.","1","missing","missing"
"124",124,1,"2","female",32.5,0,0,13,"S","Miss.","0","E","missing"
"125",125,0,"1","male",54,0,1,77.2875,"S","Mr.","0","D","missing"
"126",126,1,"3","male",12,1,0,11.2417,"C","Master.","0","missing","missing"
"127",127,0,"3","male",29.6991176470588,0,0,7.75,"Q","Mr.","0","missing","missing"
"128",128,1,"3","male",24,0,0,7.1417,"S","Mr.","0","missing","c"
"129",129,1,"3","female",29.6991176470588,1,1,22.3583,"C","Miss.","0","F","missing"
"130",130,0,"3","male",45,0,0,6.975,"S","Mr.","0","missing","missing"
"131",131,0,"3","male",33,0,0,7.8958,"C","Mr.","0","missing","missing"
"132",132,0,"3","male",20,0,0,7.05,"S","Mr.","0","missing","soto"
"133",133,0,"3","female",47,1,0,14.5,"S","Mrs.","0","missing","a"
"134",134,1,"2","female",29,1,0,26,"S","Mrs.","0","missing","missing"
"135",135,0,"2","male",25,0,0,13,"S","Mr.","0","missing","ca"
"136",136,0,"2","male",23,0,0,15.0458,"C","Mr.","0","missing","scpa"
"137",137,1,"1","female",19,0,2,26.2833,"S","Miss.","0","D","missing"
"138",138,0,"1","male",37,1,0,53.1,"S","Mr.","1","C","missing"
"139",139,0,"3","male",16,0,0,9.2167,"S","Mr.","0","missing","missing"
"140",140,0,"1","male",24,0,0,79.2,"C","Mr.","0","B","pc"
"141",141,0,"3","female",29.6991176470588,0,2,15.2458,"C","Mrs.","0","missing","missing"
"142",142,1,"3","female",22,0,0,7.75,"S","Miss.","0","missing","missing"
"143",143,1,"3","female",24,1,0,15.85,"S","Mrs.","1","missing","ston"
"144",144,0,"3","male",19,0,0,6.75,"Q","Mr.","0","missing","missing"
"145",145,0,"2","male",18,0,0,11.5,"S","Mr.","0","missing","missing"
"146",146,0,"2","male",19,1,1,36.75,"S","Mr.","0","missing","ca"
"147",147,1,"3","male",27,0,0,7.7958,"S","Mr.","0","missing","missing"
"148",148,0,"3","female",9,2,2,34.375,"S","Miss.","0","missing","wc"
"149",149,0,"2","male",36.5,0,2,26,"S","Mr.","0","F","missing"
"150",150,0,"2","male",42,0,0,13,"S","Rev.","0","missing","missing"
"151",151,0,"2","male",51,0,0,12.525,"S","Rev.","0","missing","sop"
"152",152,1,"1","female",22,1,0,66.6,"S","Mrs.","0","C","missing"
"153",153,0,"3","male",55.5,0,0,8.05,"S","Mr.","0","missing","a"
"154",154,0,"3","male",40.5,0,2,14.5,"S","Mr.","0","missing","a"
"155",155,0,"3","male",29.6991176470588,0,0,7.3125,"S","Mr.","0","missing","fa"
"156",156,0,"1","male",51,0,1,61.3792,"C","Mr.","0","missing","pc"
"157",157,1,"3","female",16,0,0,7.7333,"Q","Miss.","0","missing","missing"
"158",158,0,"3","male",30,0,0,8.05,"S","Mr.","0","missing","soto"
"159",159,0,"3","male",29.6991176470588,0,0,8.6625,"S","Mr.","0","missing","missing"
"160",160,0,"3","male",29.6991176470588,8,2,69.55,"S","Master.","0","missing","ca"
"161",161,0,"3","male",44,0,1,16.1,"S","Mr.","0","missing","missing"
"162",162,1,"2","female",40,0,0,15.75,"S","Mrs.","0","missing","ca"
"163",163,0,"3","male",26,0,0,7.775,"S","Mr.","0","missing","missing"
"164",164,0,"3","male",17,0,0,8.6625,"S","Mr.","0","missing","missing"
"165",165,0,"3","male",1,4,1,39.6875,"S","Master.","0","missing","missing"
"166",166,1,"3","male",9,0,2,20.525,"S","Master.","0","missing","missing"
"167",167,1,"1","female",29.6991176470588,0,1,55,"S","Mrs.","0","E","missing"
"168",168,0,"3","female",45,1,4,27.9,"S","Mrs.","0","missing","missing"
"169",169,0,"1","male",29.6991176470588,0,0,25.925,"S","Mr.","0","missing","pc"
"170",170,0,"3","male",28,0,0,56.4958,"S","Mr.","0","missing","missing"
"171",171,0,"1","male",61,0,0,33.5,"S","Mr.","0","B","missing"
"172",172,0,"3","male",4,4,1,29.125,"Q","Master.","0","missing","missing"
"173",173,1,"3","female",1,1,1,11.1333,"S","Miss.","0","missing","missing"
"174",174,0,"3","male",21,0,0,7.925,"S","Mr.","0","missing","ston"
"175",175,0,"1","male",56,0,0,30.6958,"C","Mr.","0","A","missing"
"176",176,0,"3","male",18,1,1,7.8542,"S","Mr.","0","missing","missing"
"177",177,0,"3","male",29.6991176470588,3,1,25.4667,"S","Master.","0","missing","missing"
"178",178,0,"1","female",50,0,0,28.7125,"C","Miss.","0","C","pc"
"179",179,0,"2","male",30,0,0,13,"S","Mr.","0","missing","missing"
"180",180,0,"3","male",36,0,0,0,"S","Mr.","0","missing","line"
"181",181,0,"3","female",29.6991176470588,8,2,69.55,"S","Miss.","0","missing","ca"
"182",182,0,"2","male",29.6991176470588,0,0,15.05,"C","Mr.","0","missing","scpa"
"183",183,0,"3","male",9,4,2,31.3875,"S","Master.","0","missing","missing"
"184",184,1,"2","male",1,2,1,39,"S","Master.","0","F","missing"
"185",185,1,"3","female",4,0,2,22.025,"S","Miss.","0","missing","missing"
"186",186,0,"1","male",29.6991176470588,0,0,50,"S","Mr.","0","A","missing"
"187",187,1,"3","female",29.6991176470588,1,0,15.5,"Q","Mrs.","1","missing","missing"
"188",188,1,"1","male",45,0,0,26.55,"S","Mr.","0","missing","missing"
"189",189,0,"3","male",40,1,1,15.5,"Q","Mr.","1","missing","missing"
"190",190,0,"3","male",36,0,0,7.8958,"S","Mr.","0","missing","missing"
